Samples    property    nMgO    O_coord    HL_gap    av_d    av_O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
CO-MgO_10_SiO2_10_Escatllar-site12    0.542    10    3    3.565    1.918    -0.651    1.0    0.269    0.408    0.773    0.524    0.437    0.68
CO-MgO_10_SiO2_10_Escatllar-site13    0.398    10    4    3.565    2.032    -0.617    1.0    0.23    0.38    0.484    0.572    0.491    0.527
CO-MgO_10_SiO2_10_Escatllar-site14    0.475    10    4    3.565    2.073    -0.657    1.0    0.212    0.401    0.44    0.643    0.373    0.598
CO-MgO_10_SiO2_10_Escatllar-site16    0.547    10    3    3.565    1.948    -0.649    1.0    0.246    0.499    0.691    0.513    0.621    0.551
CO-MgO_10_SiO2_10_Escatllar-site17    0.368    10    3    3.565    1.971    -0.641    1.0    0.173    0.542    0.636    0.643    0.481    0.511
CO-MgO_10_SiO2_10_Escatllar-site39    0.661    10    3    3.565    1.901    -0.699    1.0    0.395    0.279    0.747    0.643    0.359    0.605
CO-MgO_10_SiO2_10_Escatllar-site42    0.605    10    3    3.565    1.96    -0.673    1.0    0.262    0.397    0.791    0.512    0.39    0.724
CO-MgO_10_SiO2_10_Escatllar-site43    0.42    10    4    3.565    2.048    -0.708    1.0    0.273    0.265    0.599    0.461    0.526    0.569
CO-MgO_10_SiO2_10_Escatllar-site48    0.583    10    4    3.565    2.019    -0.655    1.0    0.328    0.303    0.394    0.73    0.308    0.537
CO-MgO_10_SiO2_5_Andreas_0-site18    0.402    10    4    3.305    2.057    -0.748    2.0    0.24    0.351    0.519    0.512    0.597    0.447
CO-MgO_10_SiO2_5_Andreas_0-site20    0.558    10    3    3.305    1.949    -0.762    2.0    0.448    0.405    0.6    0.617    0.659    0.472
CO-MgO_10_SiO2_5_Andreas_0-site22    0.599    10    4    3.305    2.061    -0.648    2.0    0.386    0.282    0.429    0.566    0.638    0.394
CO-MgO_10_SiO2_5_Andreas_0-site26    0.494    10    4    3.305    2.069    -0.635    2.0    0.241    0.404    0.399    0.657    0.419    0.558
CO-MgO_10_SiO2_5_Andreas_0-site29    0.429    10    4    3.305    2.01    -0.756    2.0    0.279    0.339    0.433    0.681    0.361    0.561
CO-MgO_10_SiO2_5_Andreas_0-site32    0.47    10    4    3.305    2.052    -0.667    2.0    0.229    0.394    0.445    0.591    0.54    0.472
CO-MgO_10_SiO2_5_Andreas_0-site33    0.392    10    4    3.305    1.999    -0.727    2.0    0.232    0.265    0.575    0.588    0.423    0.452
CO-MgO_10_SiO2_5_Andreas_0-site34    0.58    10    4    3.305    2.049    -0.673    2.0    0.379    0.286    0.422    0.587    0.621    0.389
CO-MgO_10_SiO2_5_Andreas_0-site6    0.532    10    3    3.305    2.011    -0.703    2.0    0.358    0.518    0.601    0.531    0.662    0.567
CO-MgO_10_SiO2_5_Andreas_1-site1    0.471    10    3    3.039    1.958    -0.654    2.0    0.147    0.486    0.767    0.456    0.513    0.675
CO-MgO_10_SiO2_5_Andreas_1-site12    0.513    10    4    3.039    2.037    -0.637    2.0    0.371    0.272    0.468    0.551    0.619    0.403
CO-MgO_10_SiO2_5_Andreas_1-site16    0.462    10    4    3.039    2.024    -0.785    2.0    0.324    0.304    0.391    0.727    0.349    0.522
CO-MgO_10_SiO2_5_Andreas_1-site17    0.596    10    4    3.039    2.045    -0.66    2.0    0.386    0.272    0.393    0.656    0.539    0.414
CO-MgO_10_SiO2_5_Andreas_1-site18    0.562    10    4    3.039    2.047    -0.66    2.0    0.342    0.306    0.432    0.631    0.513    0.455
CO-MgO_10_SiO2_5_Andreas_1-site19    0.593    10    4    3.039    2.052    -0.819    2.0    0.351    0.282    0.398    0.707    0.423    0.452
CO-MgO_10_SiO2_5_Andreas_1-site22    0.32    10    4    3.039    2.067    -0.722    2.0    0.286    0.436    0.401    0.485    0.651    0.506
CO-MgO_10_SiO2_5_Andreas_1-site29    0.554    10    4    3.039    2.035    -0.642    2.0    0.385    0.274    0.403    0.633    0.568    0.407
CO-MgO_10_SiO2_5_Andreas_1-site32    0.395    10    4    3.039    2.027    -0.797    2.0    0.306    0.293    0.515    0.535    0.608    0.376
CO-MgO_10_SiO2_5_Andreas_2-site0    0.413    10    4    3.311    2.001    -0.732    2.0    0.247    0.282    0.541    0.619    0.416    0.448
CO-MgO_10_SiO2_5_Andreas_2-site11    0.492    10    4    3.311    2.069    -0.639    2.0    0.243    0.406    0.391    0.656    0.447    0.526
CO-MgO_10_SiO2_5_Andreas_2-site14    0.606    10    3    3.311    1.976    -0.665    2.0    0.392    0.452    0.633    0.562    0.635    0.555
CO-MgO_10_SiO2_5_Andreas_2-site15    0.476    10    3    3.311    1.962    -0.661    2.0    0.164    0.498    0.74    0.48    0.555    0.615
CO-MgO_10_SiO2_5_Andreas_2-site24    0.564    10    3    3.311    1.954    -0.763    2.0    0.446    0.407    0.601    0.616    0.658    0.473
CO-MgO_10_SiO2_5_Andreas_2-site25    0.551    10    4    3.311    2.041    -0.655    2.0    0.363    0.303    0.414    0.613    0.575    0.418
CO-MgO_10_SiO2_5_Andreas_2-site27    0.415    10    4    3.311    2.044    -0.761    2.0    0.274    0.299    0.535    0.526    0.599    0.385
CO-MgO_10_SiO2_5_Andreas_2-site32    0.498    10    3    3.311    1.97    -0.72    2.0    0.343    0.557    0.496    0.671    0.581    0.533
CO-MgO_10_SiO2_5_Andreas_2-site34    0.386    10    4    3.311    2.003    -0.774    2.0    0.283    0.318    0.446    0.68    0.41    0.475
CO-MgO_10_SiO2_5_Andreas_3-site14    0.574    10    4    3.628    2.038    -0.65    2.0    0.386    0.274    0.403    0.631    0.568    0.409
CO-MgO_10_SiO2_5_Andreas_3-site18    0.395    10    4    3.628    2.024    -0.796    2.0    0.278    0.297    0.538    0.528    0.582    0.397
CO-MgO_10_SiO2_5_Andreas_3-site19    0.485    10    4    3.628    2.021    -0.622    2.0    0.374    0.247    0.471    0.578    0.595    0.396
CO-MgO_10_SiO2_5_Andreas_3-site2    0.445    10    4    3.628    2.016    -0.821    2.0    0.339    0.311    0.394    0.666    0.52    0.435
