Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_10_SiO2_10_Escatllar-site0    0.789    10    2    3.565    -1.872    1.434    1.745    -0.609    1.0    0.5    0.589    0.566    0.833    0.728    0.573
H-MgO_10_SiO2_10_Escatllar-site18    0.898    10    2    3.565    -1.83    1.433    1.767    -0.589    1.0    0.5    0.617    0.541    0.813    0.767    0.577
H-MgO_10_SiO2_10_Escatllar-site19    -0.354    10    2    3.565    -3.826    2.029    1.652    -0.294    1.0    0.0    0.387    0.786    0.772    0.542    0.826
H-MgO_10_SiO2_10_Escatllar-site2    0.584    10    3    3.565    -2.851    1.434    1.893    -0.708    1.0    0.667    0.397    0.325    0.723    0.611    0.467
H-MgO_10_SiO2_10_Escatllar-site20    1.112    10    2    3.565    -1.353    1.406    1.76    -0.583    1.0    0.5    0.651    0.517    0.78    0.804    0.611
H-MgO_10_SiO2_10_Escatllar-site22    0.448    10    3    3.565    -2.996    1.509    1.888    -0.678    1.0    0.667    0.392    0.336    0.715    0.619    0.489
H-MgO_10_SiO2_10_Escatllar-site23    0.594    10    3    3.565    -2.953    1.473    1.863    -0.696    1.0    0.667    0.324    0.422    0.715    0.551    0.553
H-MgO_10_SiO2_10_Escatllar-site25    0.452    10    3    3.565    -2.987    1.473    1.885    -0.732    1.0    0.667    0.337    0.335    0.774    0.586    0.349
H-MgO_10_SiO2_10_Escatllar-site27    0.688    10    2    3.565    -2.203    1.332    1.764    -0.59    1.0    0.5    0.637    0.526    0.796    0.789    0.593
H-MgO_10_SiO2_10_Escatllar-site28    0.893    10    2    3.565    -1.46    1.443    1.749    -0.579    1.0    0.5    0.564    0.591    0.844    0.691    0.587
H-MgO_10_SiO2_10_Escatllar-site29    -0.726    10    3    3.565    -4.384    1.883    1.822    -0.354    1.0    0.333    0.254    0.497    0.692    0.501    0.632
H-MgO_10_SiO2_10_Escatllar-site3    0.658    10    2    3.565    -2.116    1.505    1.741    -0.636    1.0    0.5    0.449    0.719    0.826    0.545    0.756
H-MgO_10_SiO2_10_Escatllar-site30    0.454    10    3    3.565    -3.164    1.586    1.911    -0.705    1.0    0.667    0.233    0.539    0.637    0.557    0.632
H-MgO_10_SiO2_10_Escatllar-site31    0.542    10    3    3.565    -2.752    1.465    1.917    -0.655    1.0    0.667    0.524    0.143    0.643    0.732    0.5
H-MgO_10_SiO2_10_Escatllar-site32    0.425    10    2    3.565    -3.17    2.011    1.666    -0.362    1.0    0.0    0.523    0.635    0.851    0.629    0.637
H-MgO_10_SiO2_10_Escatllar-site34    0.423    10    3    3.565    -3.215    1.74    1.827    -0.696    1.0    0.667    0.165    0.547    0.637    0.632    0.497
H-MgO_10_SiO2_10_Escatllar-site36    0.938    10    2    3.565    -1.782    1.417    1.786    -0.611    1.0    0.5    0.656    0.514    0.775    0.808    0.618
H-MgO_10_SiO2_10_Escatllar-site37    0.424    10    3    3.565    -3.222    1.482    1.866    -0.697    1.0    0.667    0.269    0.405    0.776    0.525    0.427
H-MgO_10_SiO2_10_Escatllar-site38    0.596    10    2    3.565    -2.077    1.433    1.768    -0.64    1.0    0.5    0.522    0.637    0.851    0.627    0.639
H-MgO_10_SiO2_10_Escatllar-site40    0.166    10    2    3.565    -3.417    1.959    1.665    -0.359    1.0    0.0    0.58    0.575    0.838    0.715    0.576
H-MgO_10_SiO2_10_Escatllar-site41    0.443    10    3    3.565    -2.882    1.42    1.928    -0.634    1.0    0.667    0.482    0.201    0.681    0.703    0.46
H-MgO_10_SiO2_10_Escatllar-site44    1.759    10    2    3.565    -1.594    1.373    1.791    -0.621    1.0    0.5    0.667    0.509    0.762    0.815    0.634
H-MgO_10_SiO2_10_Escatllar-site45    -0.037    10    2    3.565    -3.486    1.979    1.68    -0.354    1.0    0.0    0.543    0.613    0.849    0.659    0.609
H-MgO_10_SiO2_10_Escatllar-site49    0.606    10    2    3.565    -2.345    1.356    1.753    -0.614    1.0    0.5    0.627    0.533    0.805    0.779    0.584
