Samples    property    nMgO    metal_coord    HL_gap    pdos_c    pdos_w    av_d    O_Mc    ratio_Mg_Si_cluster    Q_1    Q_2    Q_3    Q_4    Q_5    Q_6
H-MgO_10_SiO2_10_Escatllar-site0    0.789    10    2    3.565    -1.872    1.434    1.745    -0.609    1.0    0.589    0.566    0.833    0.728    0.573    0.756
H-MgO_10_SiO2_10_Escatllar-site18    0.898    10    2    3.565    -1.83    1.433    1.767    -0.589    1.0    0.617    0.541    0.813    0.767    0.577    0.707
H-MgO_10_SiO2_10_Escatllar-site19    -0.354    10    2    3.565    -3.826    2.029    1.652    -0.294    1.0    0.387    0.786    0.772    0.542    0.826    0.661
H-MgO_10_SiO2_10_Escatllar-site20    1.112    10    2    3.565    -1.353    1.406    1.76    -0.583    1.0    0.651    0.517    0.78    0.804    0.611    0.643
H-MgO_10_SiO2_10_Escatllar-site23    0.594    10    3    3.565    -2.953    1.473    1.863    -0.696    1.0    0.324    0.422    0.715    0.551    0.553    0.594
H-MgO_10_SiO2_10_Escatllar-site27    0.688    10    2    3.565    -2.203    1.332    1.764    -0.59    1.0    0.637    0.526    0.796    0.789    0.593    0.67
H-MgO_10_SiO2_10_Escatllar-site28    0.893    10    2    3.565    -1.46    1.443    1.749    -0.579    1.0    0.564    0.591    0.844    0.691    0.587    0.789
H-MgO_10_SiO2_10_Escatllar-site3    0.658    10    2    3.565    -2.116    1.505    1.741    -0.636    1.0    0.449    0.719    0.826    0.545    0.756    0.768
H-MgO_10_SiO2_10_Escatllar-site31    0.542    10    3    3.565    -2.752    1.465    1.917    -0.655    1.0    0.524    0.143    0.643    0.732    0.5    0.445
H-MgO_10_SiO2_10_Escatllar-site32    0.425    10    2    3.565    -3.17    2.011    1.666    -0.362    1.0    0.523    0.635    0.851    0.629    0.637    0.815
H-MgO_10_SiO2_10_Escatllar-site34    0.423    10    3    3.565    -3.215    1.74    1.827    -0.696    1.0    0.165    0.547    0.637    0.632    0.497    0.516
H-MgO_10_SiO2_10_Escatllar-site36    0.938    10    2    3.565    -1.782    1.417    1.786    -0.611    1.0    0.656    0.514    0.775    0.808    0.618    0.635
H-MgO_10_SiO2_10_Escatllar-site38    0.596    10    2    3.565    -2.077    1.433    1.768    -0.64    1.0    0.522    0.637    0.851    0.627    0.639    0.816
H-MgO_10_SiO2_10_Escatllar-site40    0.166    10    2    3.565    -3.417    1.959    1.665    -0.359    1.0    0.58    0.575    0.838    0.715    0.576    0.769
H-MgO_10_SiO2_10_Escatllar-site45    -0.037    10    2    3.565    -3.486    1.979    1.68    -0.354    1.0    0.543    0.613    0.849    0.659    0.609    0.807
H-MgO_10_SiO2_10_Escatllar-site49    0.606    10    2    3.565    -2.345    1.356    1.753    -0.614    1.0    0.627    0.533    0.805    0.779    0.584    0.688
H-MgO_10_SiO2_5_Andreas_0-site11    0.321    10    3    3.305    -2.713    1.466    1.864    -0.679    2.0    0.326    0.407    0.73    0.545    0.528    0.627
H-MgO_10_SiO2_5_Andreas_0-site15    1.36    10    2    3.305    -1.519    1.364    1.781    -0.608    2.0    0.675    0.506    0.752    0.82    0.648    0.607
H-MgO_10_SiO2_5_Andreas_0-site16    1.848    10    3    3.305    -1.099    0.758    1.943    -0.933    2.0    0.483    0.217    0.674    0.695    0.483    0.507
H-MgO_10_SiO2_5_Andreas_0-site2    0.844    10    3    3.305    -2.479    1.571    1.911    -0.76    2.0    0.424    0.309    0.7    0.638    0.497    0.559
H-MgO_10_SiO2_5_Andreas_0-site28    1.108    10    2    3.305    -1.637    1.425    1.778    -0.61    2.0    0.605    0.551    0.822    0.752    0.572    0.728
H-MgO_10_SiO2_5_Andreas_0-site3    1.479    10    2    3.305    -1.491    1.389    1.77    -0.622    2.0    0.66    0.512    0.77    0.811    0.624    0.628
H-MgO_10_SiO2_5_Andreas_0-site8    1.512    10    2    3.305    -1.267    1.351    1.789    -0.631    2.0    0.684    0.503    0.74    0.825    0.664    0.597
H-MgO_10_SiO2_5_Andreas_1-site23    1.339    10    2    3.039    -1.735    1.364    1.792    -0.636    2.0    0.661    0.512    0.77    0.811    0.625    0.627
H-MgO_10_SiO2_5_Andreas_1-site28    1.39    10    2    3.039    -1.625    1.426    1.771    -0.603    2.0    0.642    0.523    0.791    0.795    0.599    0.66
H-MgO_10_SiO2_5_Andreas_1-site33    0.779    10    3    3.039    -2.519    1.541    1.887    -0.632    2.0    0.426    0.356    0.658    0.636    0.587    0.482
H-MgO_10_SiO2_5_Andreas_1-site34    1.325    10    2    3.039    -1.281    1.38    1.789    -0.638    2.0    0.687    0.502    0.737    0.825    0.669    0.595
H-MgO_10_SiO2_5_Andreas_1-site5    1.177    10    2    3.039    -1.903    1.407    1.767    -0.673    2.0    0.586    0.568    0.834    0.725    0.573    0.759
H-MgO_10_SiO2_5_Andreas_1-site7    1.175    10    2    3.039    -1.738    1.445    1.752    -0.589    2.0    0.554    0.602    0.847    0.675    0.597    0.799
H-MgO_10_SiO2_5_Andreas_2-site1    0.397    10    3    3.311    -2.671    1.5    1.859    -0.667    2.0    0.306    0.43    0.728    0.522    0.555    0.629
H-MgO_10_SiO2_5_Andreas_2-site13    1.424    10    2    3.311    -1.6    1.363    1.781    -0.612    2.0    0.684    0.503    0.74    0.825    0.664    0.598
H-MgO_10_SiO2_5_Andreas_2-site17    1.123    10    2    3.311    -1.537    1.414    1.756    -0.663    2.0    0.589    0.566    0.833    0.729    0.573    0.755
H-MgO_10_SiO2_5_Andreas_2-site20    1.177    10    2    3.311    -2.142    1.417    1.779    -0.611    2.0    0.634    0.528    0.799    0.786    0.589    0.676
H-MgO_10_SiO2_5_Andreas_2-site21    1.6    10    2    3.311    -1.319    1.341    1.802    -0.627    2.0    0.689    0.502    0.734    0.826    0.673    0.593
H-MgO_10_SiO2_5_Andreas_2-site23    1.928    10    3    3.311    -1.067    0.76    1.945    -0.928    2.0    0.5    0.188    0.663    0.711    0.486    0.486
H-MgO_10_SiO2_5_Andreas_2-site26    1.22    10    3    3.311    -2.319    1.412    1.892    -0.639    2.0    0.517    0.112    0.655    0.744    0.47    0.419
H-MgO_10_SiO2_5_Andreas_2-site3    1.185    10    2    3.311    -1.517    1.43    1.788    -0.611    2.0    0.609    0.548    0.82    0.756    0.573    0.722
H-MgO_10_SiO2_5_Andreas_2-site30    0.991    10    3    3.311    -1.975    1.537    1.886    -0.694    2.0    0.371    0.348    0.736    0.587    0.466    0.637
